Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Subpage 1 ,31489,31,22,321,"13,09","0,000%","524,33603","777,34","71,17","1518,1"
GET Subpage 2,31470,31,22,288,"12,17","0,000%","525,16521","778,52","76,42","1518,0"
TOTAL,62959,31,22,321,"12,64","0,000%","1047,62301","1553,07","147,32","1518,1"
