Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Homepage,70,58,24,380,"64,75","0,000%","59,42275","89,05","8,07","1534,6"
TOTAL,70,58,24,380,"64,75","0,000%","59,42275","89,05","8,07","1534,6"
